Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload
10550,Supermedia,Warsaw,2019-04-09T19:29:23.362264,3.7117547681523484,26.301,7706912.416309508,8113825.815558673
5134,NETIA S.A.,Warsaw,2019-04-09T20:01:30.081795,3.7117547681523484,32.088,1754126.6435797657,3742678.0270113284
5134,NETIA S.A.,Warsaw,2019-04-09T21:01:25.797079,3.7117547681523484,24.354,4863921.664474597,8978647.467952034
10550,Supermedia,Warsaw,2019-04-09T22:01:35.122081,3.7117547681523484,23.152,13259921.614839979,2824087.020622136
5134,NETIA S.A.,Warsaw,2019-04-09T23:01:33.788712,3.7117547681523484,22.037,16447946.163302317,15189351.355176467
5134,NETIA S.A.,Warsaw,2019-04-10T00:01:25.790765,3.7117547681523484,17.783,3983203.4440343985,42666225.95002743
338,Skynet DC,Warsaw,2019-04-10T01:01:24.158848,3.7117547681523484,19.076,6154101.0142479,40601904.8579846
10550,Supermedia,Warsaw,2019-04-10T02:01:23.158179,3.7117547681523484,22.075,7850809.717400164,44027546.65804272
338,Skynet DC,Warsaw,2019-04-10T03:01:23.491732,3.7117547681523484,22.633,11735771.528969133,43654247.34552181
18199,Vectra S.A,Warszawa,2019-04-10T04:01:23.307509,3.7117547681523484,29.856,12717572.531298593,42256615.92482324
18199,Vectra S.A,Warszawa,2019-04-10T05:01:26.176617,3.7117547681523484,25.036,5059467.216756949,42662677.09919247
18199,Vectra S.A,Warszawa,2019-04-10T06:01:25.868609,3.7117547681523484,7.18,161387657.67025957,35465664.56664353
5134,NETIA S.A.,Warsaw,2019-04-10T07:01:29.278293,3.7117547681523484,24.021,2789447.11850545,43769291.34575683
5134,NETIA S.A.,Warsaw,2019-04-10T08:01:44.881192,3.7117547681523484,28.499,23190318.971218534,4837802.891692214
10550,Supermedia,Warsaw,2019-04-10T09:01:24.234350,3.7117547681523484,34.832,8757061.016693525,44343471.02340176
18199,Vectra S.A,Warszawa,2019-04-10T10:01:30.024952,3.7117547681523484,6.775,164627158.05805892,41206053.81966533
5134,NETIA S.A.,Warsaw,2019-04-10T11:02:03.343631,3.7117547681523484,28.024,22383399.34251377,8780980.006837392
18199,Vectra S.A,Warszawa,2019-04-10T12:01:35.311347,3.7117547681523484,7.543,166372010.90574664,43341087.04484412
5134,NETIA S.A.,Warsaw,2019-04-10T13:01:26.806792,3.7117547681523484,26.507,4796362.870597583,41812546.95805153
5134,NETIA S.A.,Warsaw,2019-04-10T14:01:27.707263,3.7117547681523484,24.938,13551051.674021225,37973844.56063903
338,Skynet DC,Warsaw,2019-04-10T15:01:31.923331,3.7117547681523484,27.669,10204617.273686457,37344152.770951286
5134,NETIA S.A.,Warsaw,2019-04-10T16:01:25.912566,3.7117547681523484,21.507,5589559.943468469,40804033.97751839
5134,NETIA S.A.,Warsaw,2019-04-10T17:01:26.458835,3.7117547681523484,26.53,2831959.03488959,41425243.26880381
5134,NETIA S.A.,Warsaw,2019-04-10T18:01:27.461792,3.7117547681523484,25.32,3759028.8625857704,39601358.68856012
338,Skynet DC,Warsaw,2019-04-10T19:01:32.846317,3.7117547681523484,33.123,627958.6877049472,42973473.16619509
5134,NETIA S.A.,Warsaw,2019-04-10T20:01:31.442407,3.7117547681523484,31.984,677131.3406873019,35941510.58644141
18199,Vectra S.A,Warszawa,2019-04-10T21:01:24.491971,3.7117547681523484,36.852,6026758.657757256,40979590.83757295
10550,Supermedia,Warsaw,2019-04-10T22:01:24.015107,3.7117547681523484,24.623,7394594.46668585,26927496.804637507
10550,Supermedia,Warsaw,2019-04-10T23:01:25.189907,3.7117547681523484,21.299,17867234.703527126,43973148.83228466
5134,NETIA S.A.,Warsaw,2019-04-11T00:01:32.078888,3.7117547681523484,30.509,20380902.486125026,35485867.433504425
338,Skynet DC,Warsaw,2019-04-11T01:01:23.119716,3.7117547681523484,21.062,21574612.10326277,43594449.27596973
5134,NETIA S.A.,Warsaw,2019-04-11T02:01:23.978937,3.7117547681523484,23.152,22677431.2980414,44031278.52081955
5134,NETIA S.A.,Warsaw,2019-04-11T03:01:25.042179,3.7117547681523484,19.846,23506792.559098795,42295329.2377252
5134,NETIA S.A.,Warsaw,2019-04-11T04:01:22.941368,3.7117547681523484,20.105,15791997.511707842,37049889.31414127
10550,Supermedia,Warsaw,2019-04-11T05:01:24.219646,3.7117547681523484,27.652,7086715.654402902,43973678.7253979
10550,Supermedia,Warsaw,2019-04-11T06:01:24.138264,3.7117547681523484,21.781,14997295.704973657,44007056.53915922
5134,NETIA S.A.,Warsaw,2019-04-11T07:01:24.902018,3.7117547681523484,25.677,17194477.00015497,37513587.36915724
10550,Supermedia,Warsaw,2019-04-11T08:01:23.297535,3.7117547681523484,29.634,12135577.241390979,43091123.80713758
18199,Vectra S.A,Warszawa,2019-04-11T09:01:24.619443,3.7117547681523484,25.228,8762442.960252836,43347639.712168865
5134,NETIA S.A.,Warsaw,2019-04-11T10:01:26.953239,3.7117547681523484,29.843,13143108.7164343,42230712.7414676
338,Skynet DC,Warsaw,2019-04-11T11:01:32.931414,3.7117547681523484,36.503,5829927.95562385,43296054.64954518
18199,Vectra S.A,Warszawa,2019-04-11T12:01:37.852938,3.7117547681523484,8.926,167024065.93044776,43510157.64767557
10550,Supermedia,Warsaw,2019-04-11T13:01:26.064708,3.7117547681523484,27.89,17763431.583729923,34238030.87148268
5134,NETIA S.A.,Warsaw,2019-04-11T14:01:26.026995,3.7117547681523484,24.68,7478237.375253028,41826872.784465656
5134,NETIA S.A.,Warsaw,2019-04-11T15:01:56.098903,3.7117547681523484,26.499,16941927.726679824,9349033.40290224
5134,NETIA S.A.,Warsaw,2019-04-11T16:01:55.877515,3.7117547681523484,23.238,14782123.506083269,7397890.3549204515
5134,NETIA S.A.,Warsaw,2019-04-11T17:01:55.242287,3.7117547681523484,30.524,7393577.664131663,4039731.597904688
5134,NETIA S.A.,Warsaw,2019-04-11T18:01:25.121705,3.7117547681523484,23.881,8594631.40060644,4826261.5988146635
5134,NETIA S.A.,Warsaw,2019-04-11T19:01:51.903006,3.7117547681523484,26.562,11945935.436048089,7035126.512063694
18199,Vectra S.A,Warszawa,2019-04-11T20:01:26.862387,3.7117547681523484,25.443,4983713.987118017,7496723.307875845
5134,NETIA S.A.,Warsaw,2019-04-11T21:01:25.979294,3.7117547681523484,26.024,3463275.5855701095,4653434.500456742
5134,NETIA S.A.,Warsaw,2019-04-11T22:01:34.390688,3.7117547681523484,24.512,7089559.053663419,6796238.57251241
18199,Vectra S.A,Warszawa,2019-04-11T23:01:58.431803,3.7117547681523484,29.98,18896226.905784503,4344764.111599436
10550,Supermedia,Warsaw,2019-04-12T00:01:25.948491,3.7117547681523484,20.27,23428414.761247557,10141356.650655517
18199,Vectra S.A,Warszawa,2019-04-12T01:01:26.150610,3.7117547681523484,21.495,24584296.026670527,10540066.722600326
338,Skynet DC,Warsaw,2019-04-12T02:01:23.906573,3.7117547681523484,24.678,25132758.58001076,10819844.193825543
7695,Polskie Sieci Szerokopasmowe Sp. z.o.o.,Czestochowa,2019-04-12T03:01:25.427703,7.506771473787712,29.984,24998361.799248677,37866823.98967169
